"Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡"
"Intel® Core™ i5-1235U Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1235U Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1240P Processor,Q1'22,12,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1240U Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1245U Processor,Q1'22,10,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-1250P Processor,Q1'22,12,4.40 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1250U Processor,Q1'22,10,4.70 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1255U Processor,Q1'22,10,4.70 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1260P Processor,Q1'22,12,4.70 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1260U Processor,Q1'22,10,4.70 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1265U Processor,Q1'22,10,4.80 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1270P Processor,Q1'22,12,4.80 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1280P Processor,Q1'22,14,4.80 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i3-12100 Processor,Q1'22,4,4.30 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i3-12100E Processor,Q1'22,4,4.20 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i3-12100F Processor,Q1'22,4,4.30 GHz,12 MB Intel® Smart Cache,"
"Intel® Core™ i3-12100T Processor,Q1'22,4,4.10 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i3-12100TE Processor,Q1'22,4,4.00 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i3-12300 Processor,Q1'22,4,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i3-12300HE Processor,Q1'22,8,,12 MB Intel® Smart Cache,Intel® UHD Graphics"
"Intel® Core™ i3-12300T Processor,Q1'22,4,4.20 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i5-12400 Processor,Q1'22,6,4.40 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i5-12400F Processor,Q1'22,6,4.40 GHz,18 MB Intel® Smart Cache,"
"Intel® Core™ i5-12400T Processor,Q1'22,6,4.20 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 730"
"Intel® Core™ i5-12450H Processor,Q1'22,8,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i5-12500 Processor,Q1'22,6,4.60 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12500E Processor,Q1'22,6,4.50 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12500H Processor,Q1'22,12,4.50 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12500T Processor,Q1'22,6,4.40 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12500TE Processor,Q1'22,6,4.30 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12600 Processor,Q1'22,6,4.80 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i5-12600H Processor,Q1'22,12,4.50 GHz,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12600HE Processor,Q1'22,12,,18 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i5-12600T Processor,Q1'22,6,4.60 GHz,18 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12650H Processor,Q1'22,10,4.70 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics for 12th Gen Intel® Processors"
"Intel® Core™ i7-12700 Processor,Q1'22,12,4.90 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12700E Processor,Q1'22,12,4.80 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12700F Processor,Q1'22,12,4.90 GHz,25 MB Intel® Smart Cache,"
"Intel® Core™ i7-12700H Processor,Q1'22,14,4.70 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-12700T Processor,Q1'22,12,4.70 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12700TE Processor,Q1'22,12,4.60 GHz,25 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-12800H Processor,Q1'22,14,4.80 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-12800HE Processor,Q1'22,14,,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i9-12900 Processor,Q1'22,16,5.10 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-12900E Processor,Q1'22,16,5.00 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-12900F Processor,Q1'22,16,5.10 GHz,30 MB Intel® Smart Cache,"
"Intel® Core™ i9-12900H Processor,Q1'22,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i9-12900HK Processor,Q1'22,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i9-12900T Processor,Q1'22,16,4.90 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-12900TE Processor,Q1'22,16,4.80 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
