Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Processor E3-1125C v2 (8M Cache, 2.50 GHz)",Q3'13,4,,2.50 GHz,8 MB L3 Cache,40 W,,
"Intel® Xeon® Processor E3-1275 v2 (8M Cache, 3.50 GHz)",Q2'12,4,3.90 GHz,3.50 GHz,8 MB Intel® Smart Cache,77 W,,
"Intel® Xeon® Processor E3-1225 v2 (8M Cache, 3.20 GHz)",Q2'12,4,3.60 GHz,3.20 GHz,8 MB Intel® Smart Cache,77 W,,
"Intel® Xeon® Processor E5620 (12M Cache, 2.40 GHz, 5.86 GT/s Intel® QPI)",Q1'10,4,2.66 GHz,2.40 GHz,12 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor L5638 (12M Cache, 2.00 GHz, 5.86 GT/s Intel® QPI)",Q1'10,6,2.40 GHz,2.00 GHz,12 MB,60 W,,
"Intel® Xeon® Processor L5618 (12M Cache, 1.87 GHz, 5.86 GT/s Intel® QPI)",Q1'10,4,2.26 GHz,1.87 GHz,12 MB,40 W,,
"Intel® Xeon® Processor E5645 (12M Cache, 2.40 GHz, 5.86 GT/s Intel® QPI)",Q1'10,6,2.67 GHz,2.40 GHz,12 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor EC5549 (8M Cache, 2.53 GHz, 5.87 GT/s Intel® QPI)",Q1'10,4,2.93 GHz,2.53 GHz,8 MB L3 Cache,85 W,,
"Intel® Xeon® Processor EC5539 (4M Cache, 2.27 GHz, 5.87 GT/s Intel® QPI)",Q1'10,2,,2.27 GHz,4 MB L3 Cache,65 W,,
"Intel® Xeon® Processor LC5528 (8M Cache, 2.13 GHz, 4.80 GT/s Intel® QPI)",Q1'10,4,2.53 GHz,2.13 GHz,8 MB L3 Cache,60 W,,
"Intel® Xeon® Processor EC3539 (8M Cache, 2.13 GHz)",Q1'10,4,,2.13 GHz,8 MB L3 Cache,65 W,,
"Intel® Xeon® Processor EC5509 (8M Cache, 2.00 GHz, 4.80 GT/s Intel® QPI)",Q1'10,4,,2.00 GHz,8 MB L3 Cache,85 W,,
"Intel® Xeon® Processor LC5518 (8M Cache, 1.73 GHz, 4.80 GT/s Intel® QPI)",Q1'10,4,2.13 GHz,1.73 GHz,8 MB L3 Cache,48 W,,
"Intel® Xeon® Processor LC3528 (4M Cache, 1.73 GHz)",Q1'10,2,1.87 GHz,1.73 GHz,4 MB L3 Cache,35 W,,
"Intel® Xeon® Processor LC3518 (2M Cache, 1.73 GHz)",Q1'10,1,,1.73 GHz,2 MB L3 Cache,23 W,,
"Intel® Xeon® Processor X3430 (8M Cache, 2.40 GHz)",Q3'09,4,2.80 GHz,2.40 GHz,8 MB Intel® Smart Cache,95 W,,
"Intel® Xeon® Processor X3450 (8M Cache, 2.66 GHz)",Q3'09,4,3.20 GHz,2.66 GHz,8 MB Intel® Smart Cache,95 W,,
"Intel® Xeon® Processor L5508 (8M Cache, 2.00 GHz, 5.86 GT/s Intel® QPI)",Q1'09,2,2.40 GHz,2.00 GHz,8 MB Intel® Smart Cache,38 W,,
"Intel® Xeon® Processor L5518 (8M Cache, 2.13 GHz, 5.86 GT/s Intel® QPI)",Q1'09,4,2.40 GHz,2.13 GHz,8 MB Intel® Smart Cache,60 W,,
"Intel® Xeon® Processor E5540 (8M Cache, 2.53 GHz, 5.86 GT/s Intel® QPI)",Q1'09,4,2.80 GHz,2.53 GHz,8 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor E5504 (4M Cache, 2.00 GHz, 4.80 GT/s Intel® QPI)",Q1'09,4,,2.00 GHz,4 MB Intel® Smart Cache,80 W,,
"Intel® Xeon® Processor L5318 (8M Cache, 1.60 GHz, 1066 MHz FSB)",Q1'07,4,,1.60 GHz,8 MB L2 Cache,40 W,,
"Intel® Xeon® Processor E5220 (6M Cache, 2.33 GHz, 1333 MHz FSB)",Q1'08,2,,2.33 GHz,6 MB L2 Cache,65 W,,
"Intel® Xeon® Processor L5408 (12M Cache, 2.13 GHz, 1066 MHz FSB)",Q1'08,4,,2.13 GHz,12 MB L2 Cache,40 W,,
"Intel® Xeon® Processor E5240 (6M Cache, 3.00 GHz, 1333 MHz FSB)",Q1'08,2,,3.00 GHz,6 MB L2 Cache,65 W,,
"Intel® Xeon® Processor L5410 (12M Cache, 2.33 GHz, 1333 MHz FSB)",Q1'08,4,,2.33 GHz,12 MB L2 Cache,50 W,,
"Intel® Xeon® Processor L5238 (6M Cache, 2.66 GHz, 1333 MHz FSB)",Q1'08,2,,2.66 GHz,6 MB L2 Cache,35 W,,
"Intel® Xeon® Processor E5440 (12M Cache, 2.83 GHz, 1333 MHz FSB)",Q1'08,4,,2.83 GHz,12 MB L2 Cache,80 W,,
"Intel® Xeon® Processor LV 5128 (4M Cache, 1.86 GHz, 1066 MHz FSB)",Q2'06,2,,1.86 GHz,4 MB L2 Cache,40 W,,
"Intel® Xeon® Processor LV 5138 (4M Cache, 2.13 GHz, 1066 MHz FSB)",Q2'06,2,,2.13 GHz,4 MB L2 Cache,35 W,,
